area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Тверской,Тверская ул.,5.0,Вторичка / Апартаменты,,"3 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Кирпичный,Наземная,75.2,36.0,,,,962162.0,свободная продажа,https://www.cian.ru/sale/flat/303532746/,,,
Дорогомилово,Виктори Парк Резиденсез жилой комплекс,10.0,Новостройка,,,,Чистовая,Монолитный,,,,2024.0,Не сдан,Чистовая,1381316.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/303519237/,,7.5,
Тверской,Сущевская ул.,6.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,170.0,10.0,,,,547264.0,свободная продажа,https://www.cian.ru/sale/flat/303219392/,,,
Хамовники,Нащокинский пер.,6.0,Вторичка / Апартаменты,33.0,"3 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,,,,,,1650000.0,свободная продажа,https://www.cian.ru/sale/flat/300250559/,возможна,,
,,,Новостройка,,,,,Монолитный,Подземная,,,2027.0,Не сдан,,794318.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/292485517/,,,
Хамовники,Трубецкая ул.,6.0,Вторичка,,4 совмещенных,,Дизайнерский,Кирпичный,Многоуровневая,,23.9,,,,1761136.0,свободная продажа,https://www.cian.ru/sale/flat/304330210/,,,
Тропарево-Никулино,ул. Коштоянца,21.0,Вторичка,3.0,2 совмещенных,,Косметический,,Подземная,100.0,50.0,,,,259396.0,свободная продажа,https://www.cian.ru/sale/flat/293494291/,возможна,,
Даниловский,Опус жилой комплекс,16.0,Новостройка,555.0,,На улицу,Без отделки,Монолитно-кирпичный,Подземная,,,2025.0,Не сдан,Без отделки,1705115.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/303136063/,,7.1,
Арбат,Поварская ул.,9.0,Вторичка,3.0,3 совмещенных,Во двор,Дизайнерский,Монолитный,,,20.0,,,,807217.0,свободная продажа,https://www.cian.ru/sale/flat/291208107/,возможна,,
Тверской,Тверская ул.,5.0,Вторичка,32.0,2 совмещенных,На улицу и двор,Евроремонт,Кирпичный,Наземная,83.0,10.0,,,,979555.0,свободная продажа,https://www.cian.ru/sale/flat/308295722/,возможна,,
Хамовники,3-й Обыденский пер.,5.0,Новостройка,335.0,5 совмещенных,,Неизвестно,Монолитно-кирпичный,Подземная,124.0,64.7,2026.0,Не сдан,-,2439274.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/308011946/,,8.1,
Якиманка,Софийская наб.,12.0,Вторичка,34.0,"3 совмещенных, 1 раздельный",,Без ремонта,,Подземная,152.0,20.0,,,,1828704.0,свободная продажа,https://www.cian.ru/sale/flat/298112694/,возможна,,
Арбат,Большой Афанасьевский пер.,6.0,Вторичка,,4 совмещенных,На улицу,Дизайнерский,Кирпичный,Подземная,90.3,15.6,,,,702128.0,свободная продажа,https://www.cian.ru/sale/flat/307387237/,,,
Даниловский,Опус жилой комплекс,16.0,Новостройка,365.0,,На улицу,Без отделки,Монолитно-кирпичный,Подземная,,,2025.0,Не сдан,Без отделки,1013885.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/304395138/,,7.1,
Тверской,Сущевская ул.,6.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,140.0,20.0,,,,546720.0,свободная продажа,https://www.cian.ru/sale/flat/306639536/,,,
Пресненский,1-й Красногвардейский проезд,3.0,Вторичка / Апартаменты,,4 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Многоуровневая,190.0,50.0,,,,2200000.0,свободная продажа,https://www.cian.ru/sale/flat/307675438/,,,
Арбат,Крестовоздвиженский пер.,4.0,Новостройка,435.0,"3 совмещенных, 1 раздельный",На улицу и двор,Предчистовая,Монолитно-кирпичный,Подземная,71.4,18.6,2026.0,Не сдан,"Предчистовая, чистовая",3000000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/308088565/,возможна,,
,,10.0,Вторичка / Пентхаус,31.0,4 совмещенных,На улицу и двор,Дизайнерский,Монолитный,Подземная,103.0,10.0,,,,1764291.0,свободная продажа,https://www.cian.ru/sale/flat/299881286/,,,
Тверской,Весковский туп.,2.0,Вторичка,,3 совмещенных,Во двор,Дизайнерский,Кирпичный,,,,,,,601805.0,свободная продажа,https://www.cian.ru/sale/flat/307746338/,,,
,,9.0,Новостройка,355.0,"2 совмещенных, 2 раздельных",На улицу,,Монолитный,,,43.1,2026.0,Не сдан,Без отделки,1385836.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306658069/,,,
,,18.0,Вторичка,,"2 совмещенных, 1 раздельный",На улицу и двор,Без ремонта,Монолитный,Подземная,120.0,25.0,,,,566633.0,свободная продажа,https://www.cian.ru/sale/flat/307102812/,,,
Арбат,Большой Кисловский пер.,5.0,Вторичка,36.0,2 раздельных,На улицу и двор,Евроремонт,Кирпичный,Наземная,126.0,15.0,,,,1162580.0,свободная продажа,https://www.cian.ru/sale/flat/290380718/,возможна,,
жилой,В21 квартал,2025.0,Новостройка,353.0,,На улицу,,Монолитно-кирпичный,,62.9,36.4,2025.0,Не сдан,Без отделки,599800.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/307754604/,,,
Даниловский,2-й Павелецкий проезд,5.0,Вторичка / Апартаменты,55.0,"2 совмещенных, 1 раздельный",На улицу,Без ремонта,Монолитный,Подземная,100.0,20.0,,,,379404.0,свободная продажа,https://www.cian.ru/sale/flat/295096926/,,,
Пресненский,Малый Кисловский пер.,7.0,Вторичка,33.0,3 совмещенных,На улицу и двор,Дизайнерский,Кирпичный,Наземная,,20.0,,,,944707.0,свободная продажа,https://www.cian.ru/sale/flat/308310795/,возможна,,
Хамовники,Фрунзенская наб.,10.0,Новостройка,332.0,"4 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитно-кирпичный,,72.4,65.5,2027.0,Не сдан,Без отделки,2714363.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306342104/,,,
,,7.0,Вторичка,3.0,2 совмещенных,На улицу и двор,Дизайнерский,,Подземная,,20.0,,,,525000.0,свободная продажа,https://www.cian.ru/sale/flat/302898082/,,,
Мещанский,Протопоповский пер.,6.0,Вторичка,35.0,3 совмещенных,,Дизайнерский,Монолитный,Подземная,90.0,30.0,,,,983607.0,свободная продажа,https://www.cian.ru/sale/flat/308110103/,возможна,,
Хамовники,Фрунзенская наб.,10.0,Новостройка / Пентхаус,367.0,"4 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитно-кирпичный,,90.4,17.2,2027.0,Не сдан,Без отделки,4331090.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306342179/,,,
Даниловский,2-й Павелецкий проезд,5.0,Вторичка / Апартаменты,,,,Без ремонта,Монолитный,,,,,,,376344.0,свободная продажа,https://www.cian.ru/sale/flat/276634299/,возможна,,
Раменки,ул. Косыгина,8.0,Вторичка,35.0,"2 совмещенных, 1 раздельный",На улицу и двор,Дизайнерский,Монолитный,Подземная,190.0,12.0,,,,1536557.0,свободная продажа,https://www.cian.ru/sale/flat/296646329/,возможна,,
Якиманка,Лаврушинский жилой комплекс,2.0,Новостройка / Пентхаус,335.0,"3 совмещенных, 3 раздельных",,Без отделки,Монолитный,Подземная,113.9,98.0,2024.0,Не сдан,Без отделки,5146139.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/293713799/,возможна,8.7,
Пресненский,Дружинниковская ул.,2.0,Вторичка / Апартаменты,31.0,4 совмещенных,На улицу и двор,Без ремонта,Монолитный,Подземная,,20.0,,,,1200000.0,свободная продажа,https://www.cian.ru/sale/flat/307945191/,,,
,,4.0,Вторичка / Апартаменты,45.0,4 совмещенных,На улицу и двор,Евроремонт,Монолитный,Подземная,175.8,15.4,,,,880702.0,свободная продажа,https://www.cian.ru/sale/flat/301428962/,возможна,,
Пресненский,2-я Звенигородская ул.,7.0,Новостройка,3.0,"4 совмещенных, 1 раздельный",,Чистовая с мебелью,Монолитный,,,,2023.0,Сдан,"Чистовая, чистовая с мебелью",1942500.0,свободная продажа,https://www.cian.ru/sale/flat/306541584/,,8.2,
Пресненский,Большой Тишинский пер.,15.0,Вторичка,33.0,3 совмещенных,На улицу и двор,Без ремонта,Монолитно-кирпичный,Подземная,176.0,25.0,,,,500000.0,свободная продажа,https://www.cian.ru/sale/flat/296282173/,возможна,,
